clusters	colors
XM_010054772.3	1	#00FF66
XM_010034424.3	2	#00FFCF
XM_010064646.3	3	#00C6FF
XM_010064490.3	1	#00FF66
XM_039308157.1	1	#00FF66
XM_039311446.1	1	#00FF66
XM_010044147.3	1	#00FF66
XR_001988617.2	1	#00FF66
XM_010057577.3	2	#00FFCF
XM_010068267.3	2	#00FFCF
XM_039298759.1	3	#00C6FF
XM_039309032.1	1	#00FF66
XM_018859871.2	3	#00C6FF
XM_010025293.3	1	#00FF66
XM_010061547.3	1	#00FF66
XM_039315660.1	1	#00FF66
XM_010030072.3	1	#00FF66
XM_010050216.3	2	#00FFCF
XM_039317495.1	1	#00FF66
XM_010068755.3	1	#00FF66
XM_010041643.3	2	#00FFCF
XM_018859768.2	1	#00FF66
XM_010057078.3	2	#00FFCF
XM_010032783.3	1	#00FF66
XM_010064189.3	2	#00FFCF
XM_039299988.1	1	#00FF66
XR_005547003.1	1	#00FF66
XM_010059782.3	2	#00FFCF
XM_010035641.3	2	#00FFCF
XM_039315067.1	2	#00FFCF
XM_010059625.3	1	#00FF66
XM_010063935.3	1	#00FF66
XR_005548112.1	1	#00FF66
XR_005550606.1	1	#00FF66
XM_039313146.1	1	#00FF66
XM_010063082.3	1	#00FF66
XM_039317123.1	1	#00FF66
XM_010025577.3	2	#00FFCF
XM_010066931.3	2	#00FFCF
XM_039312241.1	3	#00C6FF
XM_039303286.1	2	#00FFCF
XM_010063521.3	1	#00FF66
XM_010037984.3	2	#00FFCF
XM_039300765.1	1	#00FF66
XM_010034922.3	1	#00FF66
XM_039309060.1	1	#00FF66
XM_039312715.1	1	#00FF66
XM_039304913.1	1	#00FF66
XM_039310632.1	1	#00FF66
XM_010058455.3	1	#00FF66
XM_039315077.1	1	#00FF66
XM_010071226.3	2	#00FFCF
XM_039301807.1	4	#005CFF
XR_005546565.1	1	#00FF66
XM_010025010.3	2	#00FFCF
XM_018874040.2	2	#00FFCF
XM_010030975.3	1	#00FF66
XM_010070880.2	1	#00FF66
XM_039303980.1	1	#00FF66
XM_010027027.3	1	#00FF66
XM_010063366.3	2	#00FFCF
XM_010046972.3	1	#00FF66
XM_039318009.1	5	#0D00FF
XM_010057338.3	2	#00FFCF
XM_010056694.3	1	#00FF66
XM_018864297.2	1	#00FF66
XM_018864464.2	2	#00FFCF
XM_039303847.1	1	#00FF66
XM_010040129.3	1	#00FF66
XM_010051743.3	2	#00FFCF
XM_010071810.3	4	#005CFF
XM_010051225.3	1	#00FF66
XM_010058666.3	1	#00FF66
XM_039307769.1	1	#00FF66
XM_010050519.3	2	#00FFCF
XM_010034400.3	2	#00FFCF
XM_039301398.1	3	#00C6FF
XM_039309024.1	1	#00FF66
XM_010064132.3	2	#00FFCF
XM_010026377.3	1	#00FF66
XM_039307865.1	1	#00FF66
XM_010025187.3	1	#00FF66
XM_010063083.3	2	#00FFCF
XR_005545209.1	2	#00FFCF
XM_010027822.3	3	#00C6FF
XM_018872246.2	6	#7600FF
XM_010034273.3	1	#00FF66
XM_039300326.1	1	#00FF66
XM_018876110.2	1	#00FF66
