C_1	C_2	C_3	T_1	T_2	T_3
XM_010054772.3	-1.40693946788593	-1.40693946788593	-1.40693946788593	1.17030806770722	1.22509603609749	1.8254142998531
XM_010034424.3	-1.78617259498284	-1.78617259498284	-1.78617259498284	1.5627679649671	1.8228731356927	1.97287668428872
XM_010064646.3	0.892080350306246	1.14799925299588	0.604775631641001	-0.870581192456316	-0.773890278171803	-1.00038376431501
XM_010064490.3	-1.25802218427436	-1.25802218427436	-1.25802218427436	1.38467938755888	1.142788957135	1.2465982081292
XM_039308157.1	-0.922392054155974	-0.922392054155974	-0.922392054155974	0.52015340194933	1.21150021604158	1.03552254447701
XM_039311446.1	-0.843007378056564	-0.843007378056564	-0.843007378056564	0.460919458424132	1.01735955208156	1.050743123664
XM_010044147.3	-1.34316748688348	-0.677918016794605	-1.02348501143914	1.02254761577381	1.04999314757752	0.972029751765886
XR_001988617.2	-0.757953955563556	-0.757953955563556	-0.757953955563556	0.68936074468962	0.676607556309052	0.907893565691995
XM_010057577.3	-1.66468306311531	-1.66468306311531	-1.66468306311531	1.88843164499992	1.44534602968406	1.66027151466195
XM_010068267.3	-3.152869999369	-1.52199861635642	-0.771586626865214	1.97587705987676	1.61706038530416	1.85351779740971
XM_039298759.1	1.32311735665107	0.873018160750558	1.03297329962829	-1.09057119905976	-0.966614207147771	-1.17192341082239
XM_039309032.1	-0.430126331053366	-1.08089089017027	-1.08089089017027	0.636319408849328	0.933821461351104	1.02176724119347
XM_018859871.2	0.793269500443418	1.05616336806261	0.89970280204534	-0.883959462757486	-0.660411807107965	-1.20476440068591
XM_010025293.3	-1.03652108899135	-1.04448979890695	-1.13905280043993	1.26305612474868	0.954420140564513	1.00258742302502
XM_010061547.3	-0.984789692450221	-0.984789692450221	-0.984789692450221	0.823389391321249	1.22902415373753	0.901955532291887
XM_039315660.1	-1.64673694550899	-1.64673694550899	-1.64673694550899	1.13881360623027	1.98739161201605	1.81400561828065
XM_010030072.3	-1.21832784074182	-1.21832784074182	-1.21832784074182	1.20228929823687	0.834088053409318	1.61860617057927
XM_010050216.3	-1.43796805282766	-1.43796805282766	-1.43796805282766	1.49276928473522	1.42398731131721	1.39714756243056
XM_039317495.1	-1.48886795492407	-0.52844561252631	-0.737072765741202	1.02268535400737	0.872962546323307	0.858738432860908
XM_010068755.3	-1.32761056644167	-1.32761056644167	-1.32761056644167	0.409210751006492	1.42770433760343	2.14591661071509
XM_010041643.3	-1.13055698355097	-1.13580724423817	-2.07691355518461	1.44413718171636	1.63193582192057	1.26720477933682
XM_018859768.2	-1.19524060455052	-1.19524060455052	-1.19524060455052	1.23745161223665	1.42017569271235	0.92809450870256
XM_010057078.3	-1.77635700620612	-1.77635700620612	-1.77635700620612	1.5329647242779	1.91562374439716	1.8804825499433
XM_010032783.3	-1.42961298435814	-1.42961298435814	-1.42961298435814	1.0428747871046	1.72305720129013	1.5229069646797
XM_010064189.3	-1.81371315661018	-1.81371315661018	-1.81371315661018	2.1343269491358	1.31111123306901	1.99570128762572
XM_039299988.1	-0.727210143716635	-1.3714070746964	-1.07919953245758	1.03839417808116	1.01571887488807	1.12370369790139
XR_005547003.1	-0.660777202936436	-0.660777202936436	-0.660777202936436	0.842062555319495	0.74030709856857	0.399961954921243
