con_C_rep1	con_C_rep2	con_C_rep3	con_E_rep1	con_E_rep2	con_E_rep3	con_S_rep1	con_S_rep2	con_S_rep3
YER090W	0.280634558568933	0.358533725659755	0.437303617450435	-0.239709817075904	-0.177778413754516	-0.233371086127098	-0.103453351124528	-0.136290822689412	-0.185868410907668
YOR074C	0.264567706028192	0.0773294383623044	0.183540930923524	-0.0115055606439975	0.0853386266816001	0.0300302134070254	-0.325965413705073	-0.185400415053959	-0.11793552599962
YPL020C	-0.0251605348845079	-0.204043741818142	-0.0838381027951351	-0.165232520161044	0.152327321569093	0.0621685316508538	0.0996821768723422	0.0733436544804142	0.090753215086127
YHR213W-A	0.149523595337648	0.14542466443252	0.183722052761655	0.0792348564503447	0.351895790756267	-0.0954764836184914	-0.896123682490136	0.527406629041598	-0.445607422671406
YDL214C	-3.15094709011095	-2.64942107612138	-2.96031833027494	1.10328193673324	0.738425824308075	1.31203691964874	1.87733499549762	1.69401045536515	2.03559636495445
YDR096W	-0.883874936273944	-0.905138666751313	-0.848684407696723	0.482461917186725	0.265157870992812	0.627391414242732	0.375669290566313	0.349014800320492	0.538002717412903
YER058W	-0.32918983162052	-0.197669914014496	-0.261589870273748	0.510641563232219	0.587533029072947	0.529053993400185	-0.122434626369532	-0.474291750350577	-0.24205259307648
YGR119C	0.250055879417943	0.154884602991801	0.195416558599949	-0.369078611041418	-0.24868841880698	-0.261766834753954	0.0822511674262616	0.0643275105646053	0.132598145601793
YJL128C	0.046429288851674	0.00647553254049349	0.0285200914882182	0.0452958596655773	-0.0287548782617506	0.197328247573235	-0.15793017834065	-0.0667400794277091	-0.0706238840890849
YGR121C	-0.169353533947608	-0.277435342062772	-0.473273679390593	0.131032534440122	0.253654215023883	-0.0541742664503495	0.215333721704948	0.311388847271052	0.0628275034113202
YGR240C-A	0.587334900785064	-0.0956491033459266	0.950581722652021	-0.865882770928072	-0.109093739297629	-0.399196008830394	-0.170053690586083	0.204490147639695	-0.102531458088675
YMR083W	0.27683880532714	0.283156147003151	0.422687391001684	0.595678490077514	0.591165318795444	0.517860764838495	-0.899026754154603	-0.878613616510163	-0.909746546378663
YBL086C	-0.637294266626583	-0.507168680318509	-0.44414015443016	0.874475384004656	0.720440529652686	0.882406634268202	-0.366054874195559	-0.281148688374843	-0.241515883979888
YPL118W	-0.298895248105584	-0.257360379149359	-0.428598168165522	0.453515679189858	0.560677362232891	0.413911838668097	-0.244160006155486	-0.204558981585881	0.0054679030709881
YNL282W	0.333161194852143	0.474312539814567	0.783613558922097	-0.047775310899056	-0.330007430837007	-0.277198082150488	-0.0711180107965297	-0.544732164774177	-0.320256294131549
YGL230C	-0.332885402574585	-0.3359614070829	-0.732050070178203	-0.073269979543146	-0.758791308017708	-0.317378745744163	1.80039999476228	0.286307410725926	0.463629507652499
YJR076C	0.236200231025018	0.185857902025651	0.381740375526711	-0.0931728661167064	-0.124449745169187	-0.29925400002353	-0.121974475407032	-0.0411107289844868	-0.12383669287644
YDR032C	-1.14741378565089	-1.01118415000302	-0.796323928235468	0.280793547461255	0.346197719198865	0.355449719528851	0.625354126163607	0.494548958664931	0.852577792871864
YBR175W	1.12031061731752	0.851200740328654	0.94675642500023	-0.644033783813621	-0.517533274261346	-0.485794105007208	-0.321853511542467	-0.586471509423098	-0.362581598598671
YBR026C	-2.45730183825831	-2.13074667477263	-2.30415153623671	0.580979198021579	0.755162393618138	0.629209773102245	1.60197159890387	1.57796590034449	1.74691118527732
YHR007C	0.131158973498691	0.146058241770685	-0.13795242266691	-0.796124085083457	-0.546121109345425	-1.40388548511832	1.00043655035183	0.795192804651522	0.811236531941383
YBR128C	-1.26811707803134	-0.621528816693601	-0.805539884275809	0.386400740180141	0.219310865815476	0.655519976994095	0.686687657782501	0.120528699239598	0.626737838988939
YDR541C	0.549785023325801	0.828263392794612	0.580778312144056	-0.551346080327743	0.0946760043686927	0.200963828097227	-0.539309500587867	-0.411372242076255	-0.752438737738523
YJL044C	0.0821803342416274	0.16878034641328	0.300317323084662	-0.22072563388112	-0.309644989549404	-0.0462433439499472	0.0501876548133389	-0.0827222627735118	0.0578705716010735
YDR002W	0.545751913025565	0.654805880909708	0.45759343724006	-0.399462609541371	-0.344714059290458	-0.681223863242707	-0.101781480277924	0.108366364187316	-0.239335583010192
YGR026W	0.270404397160939	0.278793790774848	0.253929321045063	-0.245611613231777	-0.433155129663206	-0.593799736489053	0.195922226413679	0.0170084868047669	0.256508257184741
YPR101W	-0.0251125046806218	-0.409671024412953	-0.322130524154335	0.339216172172183	0.0987400673241456	0.14605600164829	0.0617335028378116	0.0352958805559576	0.0758724287095189
YGR284C	0.183020217136728	-0.157031494785213	0.207670115553594	-0.0219441995875744	-0.335985566285749	-0.162735325941834	0.0984736842717924	-0.0557284981008808	0.244261067739136
YDL237W	-0.082201847491965	-0.201389545263772	-0.195246247826234	0.609282493496773	0.431724885834849	0.354819504310496	-0.449035502312761	-0.28581045615651	-0.182143284590878
YMR110C	-1.60457562384226	-1.63867272081009	-1.83685734295657	0.699830417258019	0.723132874276025	0.713013592077454	1.05179129907529	0.88396666022776	1.00837084469436
YDL173W	-0.187783852319264	-0.231108028414009	-0.341291322394709	0.254917012306121	0.323446258013032	-0.0918622710587682	0.0676358512776343	0.127348593269863	0.0786977593200984
YDR028C	-0.254375895587759	-0.218929299642169	-0.284207797585479	0.288164229284472	0.207693736633075	0.325699675771135	-0.035067255665334	-0.0230879481293762	-0.00588944507857292
YMR130W	0.389058882383343	0.295034441363341	0.51501101625288	-0.762450521436577	-0.4777831146383	-0.189142371214482	0.0231119995281048	0.0800540403873811	0.127105627374309
YLR102C	-0.953670502033751	-0.821992978066543	-0.800716915478491	0.526842621290093	0.707748268927652	0.496319577993358	0.336399875543766	0.157839433087388	0.35123061873653
