clusters	colors
YLR038C	1	#00FF66
YMR133W	1	#00FF66
YHL033C	2	#00FFA2
YGL031C	2	#00FFA2
YHR208W	2	#00FFA2
YDR019C	2	#00FFA2
YPL198W	3	#00FFDE
YOR185C	1	#00FF66
YDR234W	3	#00FFDE
YNL160W	4	#00E4FF
YDL214C	5	#00A8FF
YIL136W	4	#00E4FF
YOL084W	4	#00E4FF
YLR327C	6	#006BFF
YOR003W	1	#00FF66
YLR308W	7	#002FFF
YDR216W	4	#00E4FF
YJR150C	8	#0D00FF
YGR201C	1	#00FF66
YER056C-A	2	#00FFA2
YGR043C	5	#00A8FF
YGR148C	2	#00FFA2
YIL133C	2	#00FFA2
YDR377W	1	#00FF66
YOL039W	2	#00FFA2
YGR159C	3	#00FFDE
YMR230W	2	#00FFA2
YBR230C	4	#00E4FF
YDR324C	2	#00FFA2
YGR035C	2	#00FFA2
YOL101C	1	#00FF66
YOL052C-A	5	#00A8FF
YFL052W	1	#00FF66
YIL099W	1	#00FF66
YBR117C	5	#00A8FF
YLL045C	3	#00FFDE
YLR359W	2	#00FFA2
YBR139W	1	#00FF66
YOR315W	3	#00FFDE
YPL249C-A	2	#00FFA2
YCL042W	1	#00FF66
YMR145C	1	#00FF66
YDL199C	1	#00FF66
YDL167C	2	#00FFA2
YJL116C	8	#0D00FF
YLL017W	4	#00E4FF
YBL003C	2	#00FFA2
YIL065C	1	#00FF66
YLR307C-A	9	#4900FF
YBR047W	4	#00E4FF
YLR044C	10	#8500FF
YCR057C	2	#00FFA2
YLR372W	2	#00FFA2
YLR058C	3	#00FFDE
YNL034W	8	#0D00FF
YEL057C	4	#00E4FF
YKL065W-A	4	#00E4FF
YIL018W	3	#00FFDE
YGL263W	2	#00FFA2
YIL172C	1	#00FF66
YOR328W	1	#00FF66
YNL333W	1	#00FF66
YKL072W	3	#00FFDE
YHR140W	1	#00FF66
YKR075C	8	#0D00FF
YGR146C	8	#0D00FF
YIL087C	1	#00FF66
YML131W	1	#00FF66
YJR019C	1	#00FF66
YBR031W	2	#00FFA2
YDR379C-A	1	#00FF66
YPL054W	4	#00E4FF
YBR076W	1	#00FF66
YKL217W	6	#006BFF
YOL153C	1	#00FF66
YOR108W	2	#00FFA2
YGR128C	2	#00FFA2
YBR012W-B	1	#00FF66
YJL190C	3	#00FFDE
YDR074W	1	#00FF66
YKL026C	4	#00E4FF
YDL222C	4	#00E4FF
YGR032W	1	#00FF66
YAR020C	5	#00A8FF
YOR369C	3	#00FFDE
YFR049W	1	#00FF66
YPR030W	1	#00FF66
YPL075W	2	#00FFA2
YJL166W	1	#00FF66
YGL258W-A	7	#002FFF
YLR448W	2	#00FFA2
YML039W	11	#C100FF
YGR230W	8	#0D00FF
YLR180W	2	#00FFA2
YPL183C	2	#00FFA2
YNL274C	1	#00FF66
YDR453C	1	#00FF66
YPL277C	8	#0D00FF
YMR107W	12	#FD00FF
YDR148C	1	#00FF66
YOL136C	3	#00FFDE
YFL019C	13	#FF00C5
YPR193C	1	#00FF66
YHR126C	14	#FF0089
YOR065W	1	#00FF66
YPR158W-A	7	#002FFF
YCR021C	4	#00E4FF
YNR034W-A	4	#00E4FF
YIL111W	1	#00FF66
YEL020C	1	#00FF66
YMR300C	2	#00FFA2
YDR119W-A	6	#006BFF
YIL110W	2	#00FFA2
YNR069C	1	#00FF66
YLR312C	4	#00E4FF
YPL223C	6	#006BFF
YHL008C	1	#00FF66
YDR529C	1	#00FF66
YPL156C	4	#00E4FF
YML054C	4	#00E4FF
YOR120W	1	#00FF66
YLR432W	3	#00FFDE
YER037W	1	#00FF66
YGL081W	8	#0D00FF
YJL161W	1	#00FF66
YER054C	5	#00A8FF
YDR508C	2	#00FFA2
YIL079C	2	#00FFA2
YBR191W	3	#00FFDE
YMR017W	8	#0D00FF
YIL125W	1	#00FF66
YOR289W	1	#00FF66
YLR070C	1	#00FF66
YFL058W	1	#00FF66
YHR092C	10	#8500FF
YBL045C	1	#00FF66
YBL078C	1	#00FF66
YGL205W	5	#00A8FF
YNL092W	1	#00FF66
YPR137W	2	#00FFA2
YCR012W	3	#00FFDE
YER158C	1	#00FF66
YKL148C	1	#00FF66
YBR054W	1	#00FF66
YLL057C	1	#00FF66
YER055C	2	#00FFA2
YDR461C-A	1	#00FF66
YNL065W	2	#00FFA2
YBR189W	3	#00FFDE
YER117W	2	#00FFA2
YBR033W	1	#00FF66
YNL052W	1	#00FF66
YJR008W	4	#00E4FF
YLL009C	1	#00FF66
YBR298C	1	#00FF66
YER039C-A	4	#00E4FF
YPR007C	1	#00FF66
YCL026C-B	1	#00FF66
YKL009W	2	#00FFA2
YDL061C	2	#00FFA2
YDL110C	8	#0D00FF
YJR096W	1	#00FF66
YDR256C	5	#00A8FF
YPL196W	1	#00FF66
YJL177W	3	#00FFDE
YPL230W	4	#00E4FF
YKR058W	1	#00FF66
